"Station","Year","YearlyRain","Latitude","Longitude"
"Admiralty",2018,2211.7,1.4439,103.7854
"Admiralty",2019,1969.4,1.4439,103.7854
"Admiralty",2020,2091.4,1.4439,103.7854
"Admiralty",2021,2552,1.4439,103.7854
"Admiralty",2022,3319.1,1.4439,103.7854
"Admiralty",2023,2588.8,1.4439,103.7854
"Admiralty",2024,2875.3,1.4439,103.7854
"Admiralty West",2018,1754.2,1.4582,103.7953
"Admiralty West",2019,2094.8,1.4582,103.7953
"Admiralty West",2020,16.8,1.4582,103.7953
"Ang Mo Kio",2018,2734.6,1.3764,103.8492
"Ang Mo Kio",2019,1656.2,1.3764,103.8492
"Ang Mo Kio",2020,2404.3,1.3764,103.8492
"Ang Mo Kio",2021,3126.6,1.3764,103.8492
"Ang Mo Kio",2022,3208,1.3764,103.8492
"Ang Mo Kio",2023,2890.4,1.3764,103.8492
"Ang Mo Kio",2024,2698.8,1.3764,103.8492
"Botanic Garden",2018,2795.2,1.3087,103.818
"Botanic Garden",2019,1790.6,1.3087,103.818
"Botanic Garden",2021,3152,1.3087,103.818
"Botanic Garden",2022,3258.6,1.3087,103.818
"Botanic Garden",2023,3157.5,1.3087,103.818
"Botanic Garden",2024,578,1.3087,103.818
"Buangkok",2018,2435.4,1.3837,103.886
"Buangkok",2019,187.2,1.3837,103.886
"Bukit Panjang",2018,2687.8,1.3824,103.7603
"Bukit Panjang",2019,1995.4,1.3824,103.7603
"Bukit Panjang",2020,1842.5,1.3824,103.7603
"Bukit Panjang",2021,3695.1,1.3824,103.7603
"Bukit Panjang",2022,3120.1,1.3824,103.7603
"Bukit Panjang",2023,3149,1.3824,103.7603
"Bukit Panjang",2024,3054.2,1.3824,103.7603
"Bukit Timah",2018,2724.2,1.3191,103.8191
"Bukit Timah",2019,1699.2,1.3191,103.8191
"Bukit Timah",2020,2559.8,1.3191,103.8191
"Bukit Timah",2021,3171.8,1.3191,103.8191
"Bukit Timah",2022,3175,1.3191,103.8191
"Bukit Timah",2023,3033.8,1.3191,103.8191
"Bukit Timah",2024,2732,1.3191,103.8191
"Buona Vista",2018,2358.5,1.2841,103.7886
"Buona Vista",2019,1666.1,1.2841,103.7886
"Buona Vista",2020,2676.3,1.2841,103.7886
"Buona Vista",2021,1352.2,1.2841,103.7886
"Buona Vista",2022,2925.7,1.2841,103.7886
"Buona Vista",2023,3102.2,1.2841,103.7886
"Buona Vista",2024,2623.9,1.2841,103.7886
"Chai Chee",2018,1847.5,1.3277,103.9203
"Chai Chee",2019,1602.6,1.3277,103.9203
"Chai Chee",2020,2554.4,1.3277,103.9203
"Chai Chee",2021,2480.6,1.3277,103.9203
"Chai Chee",2022,2293.4,1.3277,103.9203
"Chai Chee",2023,835.8,1.3277,103.9203
"Changi",2018,1708.2,1.3678,103.9826
"Changi",2019,1367.5,1.3678,103.9826
"Changi",2020,1886.6,1.3678,103.9826
"Changi",2021,2809.6,1.3678,103.9826
"Changi",2022,2207.8,1.3678,103.9826
"Changi",2023,2411.2,1.3678,103.9826
"Changi",2024,2432,1.3678,103.9826
"Choa Chu Kang Central",2018,2736,1.3819,103.7386
"Choa Chu Kang Central",2019,2079.5,1.3819,103.7386
"Choa Chu Kang Central",2020,2656.8,1.3819,103.7386
"Choa Chu Kang Central",2021,3246.6,1.3819,103.7386
"Choa Chu Kang Central",2022,3002,1.3819,103.7386
"Choa Chu Kang Central",2023,3096.4,1.3819,103.7386
"Choa Chu Kang Central",2024,2644.2,1.3819,103.7386
"Choa Chu Kang South",2018,2829.2,1.3729,103.7224
"Choa Chu Kang South",2019,2136.7,1.3729,103.7224
"Choa Chu Kang South",2020,2740,1.3729,103.7224
"Choa Chu Kang South",2021,3448.2,1.3729,103.7224
"Choa Chu Kang South",2022,2899.6,1.3729,103.7224
"Choa Chu Kang South",2023,3263.6,1.3729,103.7224
"Choa Chu Kang South",2024,2803.6,1.3729,103.7224
"Choa Chu Kang West",2018,2950.4,1.3746,103.6938
"Choa Chu Kang West",2019,1988,1.3746,103.6938
"Choa Chu Kang West",2020,2866,1.3746,103.6938
"Choa Chu Kang West",2021,2983.6,1.3746,103.6938
"Clementi",2018,2983.1,1.3337,103.7768
"Clementi",2019,1738.9,1.3337,103.7768
"Clementi",2020,2446.7,1.3337,103.7768
"Clementi",2021,3113.4,1.3337,103.7768
"Clementi",2022,3145.7,1.3337,103.7768
"Clementi",2023,3116,1.3337,103.7768
"Dhoby Ghaut",2018,2270.6,1.2994,103.8461
"Dhoby Ghaut",2019,1523.4,1.2994,103.8461
"Dhoby Ghaut",2020,2555.9,1.2994,103.8461
"Dhoby Ghaut",2021,2814,1.2994,103.8461
"Dhoby Ghaut",2022,2624.4,1.2994,103.8461
"Dhoby Ghaut",2023,2686.3,1.2994,103.8461
"Dhoby Ghaut",2024,87.8,1.2994,103.8461
"East Coast Parkway",2018,1333,1.3134,103.9619
"East Coast Parkway",2019,1292.7,1.3134,103.9619
"East Coast Parkway",2020,2077.6,1.3134,103.9619
"East Coast Parkway",2021,2551.6,1.3134,103.9619
"East Coast Parkway",2022,1912.7,1.3134,103.9619
"East Coast Parkway",2023,2106.9,1.3134,103.9619
"East Coast Parkway",2024,2090.4,1.3134,103.9619
"Jurong Island",2018,2482.2,1.2542,103.6741
"Jurong Island",2019,1520,1.2542,103.6741
"Jurong Island",2020,2657.6,1.2542,103.6741
"Jurong Island",2021,2177.8,1.2542,103.6741
"Jurong Island",2022,2639.6,1.2542,103.6741
"Jurong Island",2023,2698.1,1.2542,103.6741
"Jurong Island",2024,2641.2,1.2542,103.6741
"Jurong North",2018,2607.2,1.3505,103.7134
"Jurong Pier",2018,3015.6,1.3081,103.71
"Jurong Pier",2019,2199.7,1.3081,103.71
"Jurong Pier",2020,3216.8,1.3081,103.71
"Jurong Pier",2021,3178,1.3081,103.71
"Jurong Pier",2022,2490.5,1.3081,103.71
"Jurong Pier",2023,3072.6,1.3081,103.71
"Jurong Pier",2024,2999.1,1.3081,103.71
"Jurong West",2018,2829.4,1.3455,103.6806
"Jurong West",2019,2077.9,1.3455,103.6806
"Jurong West",2020,3286.4,1.3455,103.6806
"Jurong West",2021,3213.6,1.3455,103.6806
"Jurong West",2022,3106.4,1.3455,103.6806
"Jurong West",2023,2897.2,1.3455,103.6806
"Jurong West",2024,2932.2,1.3455,103.6806
"Kent Ridge",2018,2542.2,1.2923,103.7815
"Kent Ridge",2019,939,1.2923,103.7815
"Kent Ridge",2020,2683.8,1.2923,103.7815
"Kent Ridge",2021,3221.9,1.2923,103.7815
"Kent Ridge",2022,3265.5,1.2923,103.7815
"Kent Ridge",2023,3152.4,1.2923,103.7815
"Kent Ridge",2024,2713.8,1.2923,103.7815
"Kranji Reservoir",2018,2585,1.4387,103.7363
"Kranji Reservoir",2019,1920.6,1.4387,103.7363
"Kranji Reservoir",2020,2712.8,1.4387,103.7363
"Kranji Reservoir",2021,2904.3,1.4387,103.7363
"Kranji Reservoir",2022,2957.4,1.4387,103.7363
"Kranji Reservoir",2023,2892.3,1.4387,103.7363
"Kranji Reservoir",2024,3264,1.4387,103.7363
"Lim Chu Kang",2018,2651.8,1.4385,103.7013
"Lim Chu Kang",2019,1490.9,1.4385,103.7013
"Lim Chu Kang",2020,2193.2,1.4385,103.7013
"Lim Chu Kang",2021,2858.4,1.4385,103.7013
"Lim Chu Kang",2022,2747.5,1.4385,103.7013
"Lim Chu Kang",2023,2722.7,1.4385,103.7013
"Lim Chu Kang",2024,3009.8,1.4385,103.7013
"Lower Peirce Reservoir",2018,2849.7,1.3701,103.8271
"Lower Peirce Reservoir",2019,2028.8,1.3701,103.8271
"Lower Peirce Reservoir",2020,2514.4,1.3701,103.8271
"Lower Peirce Reservoir",2021,3371.3,1.3701,103.8271
"Lower Peirce Reservoir",2022,3491.8,1.3701,103.8271
"Lower Peirce Reservoir",2023,3151.4,1.3701,103.8271
"Lower Peirce Reservoir",2024,2664.3,1.3701,103.8271
"Macritchie Reservoir",2018,2699.4,1.3417,103.8338
"Macritchie Reservoir",2019,1618.6,1.3417,103.8338
"Macritchie Reservoir",2020,2651.4,1.3417,103.8338
"Macritchie Reservoir",2021,3192.3,1.3417,103.8338
"Macritchie Reservoir",2022,2731.9,1.3417,103.8338
"Macritchie Reservoir",2023,2896.6,1.3417,103.8338
"Macritchie Reservoir",2024,2725.1,1.3417,103.8338
"Mandai",2018,2756.2,1.4036,103.7898
"Mandai",2019,2006,1.4036,103.7898
"Mandai",2020,2539.2,1.4036,103.7898
"Mandai",2021,3596.2,1.4036,103.7898
"Mandai",2022,3130.8,1.4036,103.7898
"Mandai",2023,2718.4,1.4036,103.7898
"Mandai",2024,2732.5,1.4036,103.7898
"Marina Barrage",2018,1624.2,1.2799,103.8703
"Marina Barrage",2019,950.8,1.2799,103.8703
"Marina Barrage",2020,2171.6,1.2799,103.8703
"Marina Barrage",2021,2781.7,1.2799,103.8703
"Marina Barrage",2022,2287.9,1.2799,103.8703
"Marina Barrage",2023,2676.6,1.2799,103.8703
"Marina Barrage",2024,1967.6,1.2799,103.8703
"Marine Parade",2018,1685.4,1.3065,103.9107
"Marine Parade",2019,1458.6,1.3065,103.9107
"Marine Parade",2020,2588.2,1.3065,103.9107
"Marine Parade",2021,2649,1.3065,103.9107
"Marine Parade",2022,1990.8,1.3065,103.9107
"Marine Parade",2023,2273.2,1.3065,103.9107
"Marine Parade",2024,2141.4,1.3065,103.9107
"Newton",2018,2451.8,1.3106,103.8365
"Newton",2019,1588.4,1.3106,103.8365
"Newton",2020,2475.8,1.3106,103.8365
"Newton",2021,2772,1.3106,103.8365
"Newton",2022,2400.1,1.3106,103.8365
"Newton",2023,2754.8,1.3106,103.8365
"Newton",2024,2534.2,1.3106,103.8365
"Nicoll Highway",2018,1965.8,1.3011,103.8666
"Nicoll Highway",2019,1678.2,1.3011,103.8666
"Nicoll Highway",2020,2957.6,1.3011,103.8666
"Nicoll Highway",2021,3132.2,1.3011,103.8666
"Nicoll Highway",2022,2433.1,1.3011,103.8666
"Nicoll Highway",2023,2593,1.3011,103.8666
"Nicoll Highway",2024,2218.6,1.3011,103.8666
"Pasir Panjang",2018,2254.2,1.281,103.754
"Pasir Panjang",2019,1611.6,1.281,103.754
"Pasir Panjang",2020,2396,1.281,103.754
"Pasir Panjang",2021,3002.4,1.281,103.754
"Pasir Panjang",2022,2627.6,1.281,103.754
"Pasir Panjang",2023,2493.7,1.281,103.754
"Pasir Panjang",2024,2497.7,1.281,103.754
"Pasir Ris Central",2018,1884.8,1.3679,103.9489
"Pasir Ris Central",2019,1374.6,1.3679,103.9489
"Pasir Ris Central",2020,2424.6,1.3679,103.9489
"Pasir Ris Central",2021,2928.6,1.3679,103.9489
"Pasir Ris Central",2022,2496.1,1.3679,103.9489
"Pasir Ris Central",2023,2519.8,1.3679,103.9489
"Pasir Ris Central",2024,2214.2,1.3679,103.9489
"Pasir Ris West",2018,1682.2,1.3863,103.9412
"Pasir Ris West",2019,1588.5,1.3863,103.9412
"Pasir Ris West",2020,1494.2,1.3863,103.9412
"Pasir Ris West",2021,526.4,1.3863,103.9412
"Pasir Ris West",2022,2569.6,1.3863,103.9412
"Pasir Ris West",2023,2094.7,1.3863,103.9412
"Pasir Ris West",2024,2496.8,1.3863,103.9412
"Paya Lebar",2018,2400.1,1.3524,103.9007
"Paya Lebar",2019,1901.2,1.3524,103.9007
"Paya Lebar",2020,2814.5,1.3524,103.9007
"Paya Lebar",2021,3050.4,1.3524,103.9007
"Paya Lebar",2022,2741.2,1.3524,103.9007
"Paya Lebar",2023,2568.8,1.3524,103.9007
"Paya Lebar",2024,2649,1.3524,103.9007
"Pulau Ubin",2018,2072,1.4168,103.9673
"Pulau Ubin",2019,1403,1.4168,103.9673
"Pulau Ubin",2020,1839.8,1.4168,103.9673
"Pulau Ubin",2021,2599.3,1.4168,103.9673
"Pulau Ubin",2022,2425.1,1.4168,103.9673
"Pulau Ubin",2023,2572.7,1.4168,103.9673
"Pulau Ubin",2024,2509.8,1.4168,103.9673
"Punggol",2018,2444.4,1.4029,103.9092
"Punggol",2019,1837.6,1.4029,103.9092
"Punggol",2020,2330.8,1.4029,103.9092
"Punggol",2021,3096,1.4029,103.9092
"Punggol",2022,2944.7,1.4029,103.9092
"Punggol",2023,2370.6,1.4029,103.9092
"Punggol",2024,2366,1.4029,103.9092
"Queenstown",2018,2381.8,1.2937,103.8125
"Queenstown",2019,1651.8,1.2937,103.8125
"Queenstown",2020,2725.4,1.2937,103.8125
"Queenstown",2021,2885.6,1.2937,103.8125
"Queenstown",2022,2926.2,1.2937,103.8125
"Queenstown",2023,2535.6,1.2937,103.8125
"Queenstown",2024,2384,1.2937,103.8125
"Seletar",2018,2817.2,1.4166,103.8654
"Seletar",2019,1725.1,1.4166,103.8654
"Seletar",2020,2363.9,1.4166,103.8654
"Seletar",2021,2980,1.4166,103.8654
"Seletar",2022,3302.2,1.4166,103.8654
"Seletar",2023,2647.4,1.4166,103.8654
"Seletar",2024,2725.6,1.4166,103.8654
"Semakau Island",2018,873.6,1.189,103.768
"Semakau Island",2020,427.5,1.189,103.768
"Semakau Island",2021,257.4,1.189,103.768
"Semakau Island",2022,417.3,1.189,103.768
"Semakau Island",2023,346.1,1.189,103.768
"Sembawang",2018,2750.9,1.4252,103.8202
"Sembawang",2019,2069.3,1.4252,103.8202
"Sembawang",2020,1980.6,1.4252,103.8202
"Sembawang",2021,2952.4,1.4252,103.8202
"Sembawang",2022,3443.1,1.4252,103.8202
"Sembawang",2023,2442,1.4252,103.8202
"Sembawang",2024,2459.4,1.4252,103.8202
"Sentosa Island",2018,1945.2,1.25,103.8279
"Sentosa Island",2019,1315.8,1.25,103.8279
"Sentosa Island",2020,2097.4,1.25,103.8279
"Sentosa Island",2021,2687.6,1.25,103.8279
"Sentosa Island",2022,2667.1,1.25,103.8279
"Sentosa Island",2023,2624.4,1.25,103.8279
"Sentosa Island",2024,2030.2,1.25,103.8279
"Serangoon",2018,1592,1.3382,103.8657
"Serangoon",2019,532,1.3382,103.8657
"Serangoon",2020,453.9,1.3382,103.8657
"Serangoon",2021,103.5,1.3382,103.8657
"Serangoon",2022,466.5,1.3382,103.8657
"Serangoon",2023,18,1.3382,103.8657
"Simei",2018,1399.9,1.3437,103.9444
"Simei",2019,937.9,1.3437,103.9444
"Simei",2020,2206.5,1.3437,103.9444
"Simei",2021,3204.2,1.3437,103.9444
"Simei",2022,2793.8,1.3437,103.9444
"Simei",2023,2492,1.3437,103.9444
"Simei",2024,2570,1.3437,103.9444
"Somerset Road",2018,2191.4,1.3004,103.8372
"Somerset Road",2019,1474.6,1.3004,103.8372
"Somerset Road",2020,2679.2,1.3004,103.8372
"Somerset Road",2021,2565.4,1.3004,103.8372
"Somerset Road",2022,2594,1.3004,103.8372
"Somerset Road",2023,2729.2,1.3004,103.8372
"Somerset Road",2024,2294.4,1.3004,103.8372
"Tai Seng",2018,2184,1.3399,103.8878
"Tai Seng",2019,1638.7,1.3399,103.8878
"Tai Seng",2020,2585,1.3399,103.8878
"Tai Seng",2021,3326.4,1.3399,103.8878
"Tai Seng",2022,2787.4,1.3399,103.8878
"Tai Seng",2023,2583,1.3399,103.8878
"Tai Seng",2024,2619,1.3399,103.8878
"Tanjong Katong",2018,1937.4,1.307,103.8907
"Tanjong Katong",2019,1417,1.307,103.8907
"Tanjong Katong",2020,2836,1.307,103.8907
"Tanjong Katong",2021,2836.4,1.307,103.8907
"Tanjong Katong",2022,2404.2,1.307,103.8907
"Tanjong Katong",2023,2400.1,1.307,103.8907
"Tanjong Katong",2024,2384.4,1.307,103.8907
"Tengah",2018,3036.4,1.3858,103.7114
"Tengah",2019,2316.4,1.3858,103.7114
"Tengah",2020,2708,1.3858,103.7114
"Tengah",2021,3331.2,1.3858,103.7114
"Tengah",2022,2850.6,1.3858,103.7114
"Tengah",2023,3034,1.3858,103.7114
"Tengah",2024,2601.4,1.3858,103.7114
"Toa Payoh",2018,2708.4,1.3415,103.8519
"Toa Payoh",2019,1706,1.3415,103.8519
"Toa Payoh",2020,2613.4,1.3415,103.8519
"Toa Payoh",2021,3270.8,1.3415,103.8519
"Toa Payoh",2022,2892.6,1.3415,103.8519
"Toa Payoh",2023,3041.8,1.3415,103.8519
"Toa Payoh",2024,2654,1.3415,103.8519
"Tuas",2018,2874.2,1.3199,103.6616
"Tuas",2019,2152.8,1.3199,103.6616
"Tuas",2020,3718.8,1.3199,103.6616
"Tuas",2021,2791,1.3199,103.6616
"Tuas",2022,3045.4,1.3199,103.6616
"Tuas",2023,3022,1.3199,103.6616
"Tuas",2024,2954.8,1.3199,103.6616
"Tuas South",2018,2397.4,1.2938,103.6184
"Tuas South",2019,1749.4,1.2938,103.6184
"Tuas South",2020,3418.6,1.2938,103.6184
"Tuas South",2021,2938.9,1.2938,103.6184
"Tuas South",2022,2710.8,1.2938,103.6184
"Tuas South",2023,2982.7,1.2938,103.6184
"Tuas South",2024,2652.2,1.2938,103.6184
"Tuas West",2018,2672.8,1.3247,103.6351
"Tuas West",2019,2102.6,1.3247,103.6351
"Tuas West",2020,3494.8,1.3247,103.6351
"Tuas West",2021,2309,1.3247,103.6351
"Tuas West",2022,2302.5,1.3247,103.6351
"Ulu Pandan",2018,2959.4,1.3329,103.7556
"Ulu Pandan",2019,1741.4,1.3329,103.7556
"Ulu Pandan",2020,2487.8,1.3329,103.7556
"Ulu Pandan",2021,3271.9,1.3329,103.7556
"Ulu Pandan",2022,2968.2,1.3329,103.7556
"Ulu Pandan",2023,3218.1,1.3329,103.7556
"Ulu Pandan",2024,2913.8,1.3329,103.7556
"Upper Peirce Reservoir",2018,2676.8,1.37,103.805
"Upper Peirce Reservoir",2019,1501.6,1.37,103.805
"Upper Peirce Reservoir",2020,2269,1.37,103.805
"Upper Peirce Reservoir",2021,3013.4,1.37,103.805
"Upper Peirce Reservoir",2022,3211,1.37,103.805
"Upper Peirce Reservoir",2023,3086.1,1.37,103.805
"Upper Peirce Reservoir",2024,2864,1.37,103.805
"Whampoa",2018,2467.6,1.3214,103.8577
"Whampoa",2019,1701.4,1.3214,103.8577
"Whampoa",2020,2835.4,1.3214,103.8577
"Whampoa",2021,3136,1.3214,103.8577
"Whampoa",2022,2785.6,1.3214,103.8577
"Whampoa",2023,2718.4,1.3214,103.8577
"Whampoa",2024,1949.2,1.3214,103.8577
"Yishun",2018,2099.1,1.4301,103.8308
"Yishun",2019,1209.4,1.4301,103.8308
"Yishun",2020,2105.6,1.4301,103.8308
"Yishun",2021,617.6,1.4301,103.8308
